,Users,Date Created,Number of Likes,Source of Tweet,Tweet
0,Dirty Dean😈☠️🇪🇺,2022-10-25 17:57:34+00:00,0,Twitter for Android,RT @damocrat: I’m sure Rishi Sunak is the right person to fix the economic mess he inherits from Rishi Sunak.
1,हिंदुस्तानी 🇮🇳,2022-10-25 17:57:34+00:00,0,Twitter for iPhone,"RT @DrMungekar: It's a bankruptcy to claim that Rishi Sunak has become UK's Prime Minister because he is a Hindu. Unlike we Indians, Britis…"
2,canizzaro reaction,2022-10-25 17:57:34+00:00,0,Twitter for Android,"RT @TheDailyShow: Meet Rishi Sunak, Britain's new PM who is only 42, meaning he'll probably serve well into his 42-and-a-halves https://t.c…"
3,WE'RE DOOMED #READYFORRISHI,2022-10-25 17:57:34+00:00,0,Twitter Web App,@Wario64 Rishi Sunak is playing it right now though.
4,linga 2599,2022-10-25 17:57:34+00:00,0,Twitter for Android,RT @RaghunandanraoM: Rishi Sunak to be UK's first Indian-origin PM. https://t.co/TdNJzkcmdz
5,huncho,2022-10-25 17:57:34+00:00,0,Twitter for iPhone,"RT @Lowkey0nline: Joe Biden congratulates new British Prime Minister Rishi Sunak by calling him ""Rashid Sanook.""
https://t.co/x4WQuXZEXp"
6,FieldM,2022-10-25 17:57:34+00:00,0,Twitter for Android,"RT @YvetteCooperMP: At noon Rishi Sunak promised “integrity, professionalism &amp; accountability”

At 5pm he made Suella Braverman Home Secret…"
7,Hank Marlboro,2022-10-25 17:57:33+00:00,0,Twitter Web App,RT @RichardBurgon: Rishi Sunak's wealth is so vast that it would take someone on the average UK salary over TWENTY-FOUR THOUSAND YEARS to e…
8,เลา,2022-10-25 17:57:33+00:00,0,Twitter for Android,"RT @manopsi: หลังจาก Rishi Sunak รับตำแหน่งนายกอย่างเป็นทางการวันนี้ก็เริ่มทยอยแต่งตั้ง รมต ใหม่ทันที

Thread นี้มาว่ากันเรื่องน่าสนใจเกี่ย…"
9,sujon das,2022-10-25 17:57:33+00:00,0,Twitter for Android,RT @trtworld: Rishi Sunak becomes Britain's third Prime Minister this year and the first person of colour to lead the former colonial power…
10,Susan lumley 😷,2022-10-25 17:57:33+00:00,0,Twitter for iPhone,"RT @PeterStefanovi2: At noon Rishi Sunak promised a “compassionate” Government

At 5pm he made Suella Braverman - with her cruel &amp; toxic vi…"
11,Lisa D'Amico,2022-10-25 17:57:33+00:00,0,Twitter Web App,"RT @benoitm_mtl: Ça commence très bien pour Rishi Sunak, Premier ministre britannique: le secrétaire à la justice, le secrétaire aux affair…"
12,Vigya Prashar,2022-10-25 17:57:33+00:00,0,Twitter Web App,RT @trtworld: Rishi Sunak becomes Britain's third Prime Minister this year and the first person of colour to lead the former colonial power…
13,vAhana,2022-10-25 17:57:33+00:00,0,Twitter for Android,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
14,Devil's Advocate,2022-10-25 17:57:33+00:00,0,Twitter Web App,"RT @Lowkey0nline: Joe Biden congratulates new British Prime Minister Rishi Sunak by calling him ""Rashid Sanook.""
https://t.co/x4WQuXZEXp"
15,Nishants07,2022-10-25 17:57:33+00:00,0,Twitter Web App,"RT @AdityaRajKaul: Excellent Rishi Sunak edition of The Daily Show!  “I am selling the entire country to India, you ********”. Must must wa…"
16,Fernan Garcia,2022-10-25 17:57:33+00:00,0,Twitter for iPhone,"RT @ParikPatelCFA: Rishi Sunak rn 

 https://t.co/rzDc1vv57E"
17,Sunit Arora,2022-10-25 17:57:32+00:00,0,Twitter Web App,"Michael Ashcroft's new book on Rishi Sunak reminds us about the power of media to fuel a political career.

Sunak's… https://t.co/em4ESA6rZN"
18,farquar,2022-10-25 17:57:32+00:00,0,Twitter for iPhone,"RT @MarinaHyde: My column on new prime minister Rishi Sunak and his new cabinet - welcome back, geniuses!
https://t.co/eCUnxB2RA0"
19,John Wilks,2022-10-25 17:57:32+00:00,0,Twitter for Android,"RT @RichardJMurphy: Rishi Sunak could be a great prime minister. That possibility cannot be denied. Equally, the probability that he will b…"
20,Abhishek Sharma,2022-10-25 17:57:32+00:00,0,Twitter for Android,"RT @ARanganathan72: Left: Do not celebrate Rishi Sunak. He exhibits upper class, upper caste privilege, married into billions, attended a p…"
21,Gonzalo Barría Pérez,2022-10-25 17:57:32+00:00,0,Twitter for iPhone,"RT @latercera: 🔴#LaTerceraPM | Akshata Murty, la multimillonaria esposa de Rishi Sunak que pone bajo la lupa la fortuna del nuevo primer mi…"
22,Sue Hedger 🏳️‍🌈🏳️‍⚧️,2022-10-25 17:57:32+00:00,0,Twitter Web App,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
23,hakan uzel,2022-10-25 17:57:32+00:00,0,Twitter for Android,RT @HalitTokkuss: İngilizlerin Hindistan kökenli Rishi Sunak'ı başbakan yapmasının altı boş değildir.
